*SOIL-PLANT-ATMOSPHERE MODULE OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.5.1.023 -Stub         NOV 08, 2014; 00:45:26
                                                                                
*RUN   1        : 97 DATE1 CHINESE          CRGRO045 GHNY9701    1              
 MODEL          : CRGRO045 - Peanut                                             
 EXPERIMENT     : GHNY9701 PN 1997 VARIETY X PLANTING DATE EXPERIMENT           
 DATA PATH      :                                                               
 TREATMENT  1   : 97 DATE1 CHINESE          CRGRO045                            
  
!                                                                                                                                                Soil evaporation (mm/d) by soil depth (cm):
!                                                                                                                                                0-5    5-15   15-30   30-45   45-60   60-90
@YEAR DOY   DAS   SRAA  TMAXA  TMINA   EOAA   EOPA   EOSA   ETAA   EPAA   ESAA   EFAA   EMAA    EOAC    ETAC    EPAC    ESAC    EFAC    EMAC    ES1D    ES2D    ES3D    ES4D    ES5D    ES6D    
 1997 260    57  21.00  31.50  22.00  5.149  3.127  2.301  5.142  3.127  1.939  0.000  0.075  241.10  169.61   55.63  110.35    0.00    3.63   0.584   0.412   0.332   0.218   0.156   0.238
 1997 261    58   9.10  26.50  22.00  2.115  1.305  0.922  2.112  1.305  0.708  0.000  0.099  243.22  171.72   56.94  111.06    0.00    3.73   0.214   0.155   0.123   0.079   0.056   0.082
 1997 262    59  16.30  30.00  22.50  3.952  2.456  1.703  3.946  2.456  1.402  0.000  0.088  247.17  175.67   59.39  112.46    0.00    3.82   0.416   0.293   0.247   0.160   0.114   0.172
 1997 263    60  14.60  32.00  23.50  3.632  2.286  1.534  3.627  2.286  1.274  0.000  0.067  250.80  179.30   61.68  113.73    0.00    3.89   0.371   0.263   0.224   0.148   0.106   0.163
 1997 264    61  24.50  33.50  24.00  6.204  3.947  2.571  6.195  3.947  2.197  0.000  0.051  257.01  185.49   65.63  115.93    0.00    3.94   0.622   0.449   0.390   0.260   0.187   0.289
 1997 265    62  19.70  33.50  24.50  4.998  3.218  2.028  4.990  3.218  1.733  0.000  0.039  262.00  190.48   68.84  117.66    0.00    3.98   0.504   0.368   0.304   0.199   0.142   0.216
 1997 266    63   7.60  28.00  21.00  1.778  1.157  0.708  1.775  1.157  0.529  0.000  0.089  263.78  192.26   70.00  118.19    0.00    4.07   0.157   0.111   0.092   0.060   0.043   0.065
 1997 267    64  19.50  32.00  22.40  4.807  3.132  1.910  4.800  3.132  1.590  0.000  0.077  268.59  197.06   73.13  119.78    0.00    4.14   0.492   0.327   0.272   0.178   0.127   0.194
 1997 268    65   9.30  28.50  21.50  2.195  1.441  0.859  2.191  1.441  0.650  0.000  0.100  270.78  199.25   74.57  120.43    0.00    4.24   0.197   0.132   0.112   0.074   0.053   0.082
 1997 269    66  16.00  33.50  21.70  3.985  2.695  1.557  3.979  2.695  1.208  0.000  0.076  274.77  203.23   77.27  121.64    0.00    4.32   1.036   0.115   0.035   0.012   0.005   0.005
 1997 270    67  24.70  34.50  24.50  6.325  4.183  2.446  6.316  4.183  2.076  0.000  0.058  281.09  209.54   81.45  123.72    0.00    4.38   0.593   0.430   0.365   0.244   0.180   0.263
 1997 271    68  24.90  32.50  20.00  6.065  4.037  2.314  6.055  4.037  1.915  0.000  0.103  287.16  215.60   85.49  125.63    0.00    4.48   0.556   0.394   0.335   0.223   0.164   0.242
 1997 272    69  21.90  34.00  24.00  5.561  3.720  2.103  5.553  3.720  1.754  0.000  0.078  292.72  221.15   89.21  127.39    0.00    4.56   0.522   0.354   0.304   0.202   0.148   0.224
 1997 273    70  18.80  33.00  23.00  4.696  3.158  1.757  4.688  3.158  1.425  0.000  0.106  297.42  225.84   92.37  128.81    0.00    4.66   0.429   0.283   0.243   0.164   0.121   0.186
 1997 274    71  20.20  33.50  25.00  5.136  3.467  1.908  5.128  3.467  1.581  0.000  0.080  302.55  230.97   95.83  130.39    0.00    4.74   0.460   0.311   0.271   0.187   0.138   0.214
 1997 275    72  24.50  34.00  25.00  6.255  4.238  2.307  6.246  4.238  1.947  0.000  0.061  308.81  237.21  100.07  132.34    0.00    4.80   0.581   0.409   0.329   0.220   0.159   0.248
 1997 276    73  15.10  28.00  20.00  3.498  2.378  1.280  3.492  2.378  1.007  0.000  0.106  312.30  240.71  102.45  133.35    0.00    4.91   0.300   0.212   0.175   0.113   0.081   0.126
 1997 277    74  18.10  32.00  20.00  4.375  2.977  1.601  4.368  2.977  1.311  0.000  0.080  316.68  245.07  105.43  134.66    0.00    4.99   0.381   0.274   0.228   0.150   0.109   0.169
 1997 278    75   8.80  31.50  20.00  2.114  1.440  0.773  2.111  1.440  0.611  0.000  0.061  318.79  247.18  106.87  135.27    0.00    5.05   0.177   0.128   0.107   0.072   0.051   0.075
 1997 279    76  22.20  33.00  21.30  5.482  3.722  2.016  5.473  3.722  1.642  0.000  0.108  324.28  252.66  110.59  136.91    0.00    5.16   0.486   0.348   0.288   0.192   0.137   0.191
 1997 280    77  21.20  30.70  20.60  5.080  3.451  1.867  5.072  3.451  1.528  0.000  0.092  329.36  257.73  114.04  138.44    0.00    5.25   0.447   0.316   0.267   0.178   0.129   0.191
 1997 281    78   8.70  32.00  23.50  2.155  1.464  0.792  2.151  1.464  0.617  0.000  0.069  331.51  259.88  115.50  139.05    0.00    5.32   0.181   0.126   0.108   0.072   0.052   0.079
 1997 282    79  17.70  32.00  25.40  4.444  3.012  1.644  4.437  3.012  1.314  0.000  0.111  335.95  264.32  118.52  140.37    0.00    5.43   0.390   0.264   0.229   0.152   0.111   0.169
 1997 283    80  18.60  33.00  25.20  4.708  3.191  1.743  4.701  3.191  1.426  0.000  0.084  340.66  269.02  121.71  141.80    0.00    5.52   0.410   0.283   0.250   0.169   0.124   0.191
 1997 284    81  19.80  32.80  25.20  4.998  3.387  1.852  4.990  3.387  1.540  0.000  0.063  345.66  274.01  125.09  143.34    0.00    5.58   0.427   0.301   0.272   0.187   0.138   0.215
 1997 285    82  17.60  33.70  24.00  4.444  3.435  1.647  4.437  3.435  0.955  0.000  0.047  350.10  278.45  128.53  144.29    0.00    5.63   0.807   0.095   0.031   0.011   0.005   0.005
 1997 286    83  20.40  33.80  23.40  5.130  4.053  1.904  4.918  4.053  0.830  0.000  0.035  355.23  283.36  132.58  145.12    0.00    5.66   0.689   0.089   0.030   0.011   0.005   0.005
 1997 287    84  12.50  32.00  24.20  3.099  2.348  1.151  3.095  2.348  0.720  0.000  0.027  358.33  286.46  134.93  145.84    0.00    5.69   0.588   0.082   0.028   0.011   0.005   0.005
 1997 288    85  21.60  31.40  21.50  5.220  4.112  1.948  5.187  4.112  1.024  0.000  0.051  363.55  291.65  139.04  146.86    0.00    5.74   0.873   0.101   0.029   0.011   0.005   0.005
 1997 289    86  24.30  33.20  22.20  6.045  4.075  2.270  6.036  4.075  1.857  0.000  0.104  369.60  297.68  143.12  148.72    0.00    5.84   0.593   0.398   0.280   0.195   0.147   0.244
 1997 290    87  12.10  33.00  23.40  3.025  2.037  1.138  3.020  2.037  0.905  0.000  0.078  372.62  300.70  145.15  149.63    0.00    5.92   0.779   0.088   0.022   0.008   0.004   0.004
 1997 291    88  12.70  35.40  23.20  3.305  2.221  1.250  3.300  2.221  1.021  0.000  0.058  375.93  304.00  147.38  150.65    0.00    5.98   0.316   0.229   0.165   0.103   0.077   0.131
 1997 292    89  12.80  30.40  21.40  3.076  2.062  1.168  3.070  2.062  0.891  0.000  0.117  379.00  307.07  149.44  151.54    0.00    6.10   0.275   0.194   0.155   0.093   0.064   0.110
 1997 293    90  12.50  33.00  23.00  3.118  2.087  1.191  3.113  2.087  0.940  0.000  0.087  382.12  310.19  151.53  152.48    0.00    6.18   0.284   0.199   0.165   0.105   0.069   0.118
 1997 294    91  12.00  33.40  23.00  3.005  2.006  1.153  3.000  2.006  0.929  0.000  0.065  385.13  313.19  153.53  153.41    0.00    6.25   0.793   0.092   0.027   0.009   0.004   0.004
 1997 295    92  20.60  33.00  23.90  5.164  4.007  1.989  5.103  4.007  1.047  0.000  0.048  390.29  318.29  157.54  154.45    0.00    6.29   0.883   0.110   0.033   0.011   0.005   0.005
 1997 296    93  24.40  33.00  21.80  6.022  4.669  2.323  5.612  4.669  0.907  0.000  0.036  396.31  323.90  162.21  155.36    0.00    6.33   0.752   0.103   0.032   0.011   0.005   0.005
 1997 297    94  20.60  34.00  23.60  5.195  4.026  2.006  5.136  4.026  1.083  0.000  0.027  401.51  329.04  166.23  156.45    0.00    6.36   0.927   0.106   0.030   0.010   0.004   0.005
 1997 298    95  19.80  34.00  22.00  4.959  3.301  1.917  4.951  3.301  1.533  0.000  0.117  406.47  333.99  169.53  157.98    0.00    6.47   0.499   0.323   0.238   0.164   0.109   0.200
 1997 299    96  23.00  35.00  22.00  5.813  3.865  2.253  5.804  3.865  1.852  0.000  0.087  412.28  339.79  173.40  159.83    0.00    6.56   0.620   0.395   0.280   0.191   0.129   0.238
 1997 300    97  19.70  32.50  22.20  4.865  3.234  1.887  4.858  3.234  1.500  0.000  0.124  417.15  344.65  176.63  161.33    0.00    6.69   0.495   0.329   0.225   0.152   0.104   0.194
 1997 301    98  22.50  33.00  24.00  5.648  3.753  2.193  5.640  3.753  1.795  0.000  0.092  422.79  350.29  180.39  163.13    0.00    6.78   0.602   0.394   0.261   0.179   0.124   0.234
 1997 302    99  22.10  33.50  23.70  5.568  3.699  2.164  5.560  3.699  1.735  0.000  0.125  428.36  355.85  184.09  164.86    0.00    6.90   0.584   0.379   0.247   0.173   0.122   0.231
 1997 303   100  21.50  33.50  22.50  5.367  4.144  2.088  5.320  4.144  1.083  0.000  0.093  433.73  361.17  188.23  165.94    0.00    6.99   0.940   0.102   0.024   0.009   0.004   0.005
 1997 304   101  15.50  32.70  22.50  3.832  2.827  1.492  3.826  2.827  0.931  0.000  0.068  437.56  365.00  191.06  166.88    0.00    7.06   0.797   0.095   0.022   0.009   0.004   0.005
 1997 305   102  22.60  31.70  23.00  5.543  4.277  2.159  5.141  4.277  0.813  0.000  0.050  443.10  370.14  195.33  167.69    0.00    7.11   0.686   0.089   0.021   0.008   0.004   0.005

*DSSAT Cropping System Model Ver. 4.5.1.023 -Stub         NOV 08, 2014; 00:45:26
                                                                                
*RUN   6        : 97 DATE3 F-MIX            CRGRO045 GHNY9701    6              
 MODEL          : CRGRO045 - Peanut                                             
 EXPERIMENT     : GHNY9701 PN 1997 VARIETY X PLANTING DATE EXPERIMENT           
 DATA PATH      :                                                               
 TREATMENT  6   : 97 DATE3 F-MIX            CRGRO045                            
  
!                                                                                                                                                Soil evaporation (mm/d) by soil depth (cm):
!                                                                                                                                                0-5    5-15   15-30   30-45   45-60   60-90
@YEAR DOY   DAS   SRAA  TMAXA  TMINA   EOAA   EOPA   EOSA   ETAA   EPAA   ESAA   EFAA   EMAA    EOAC    ETAC    EPAC    ESAC    EFAC    EMAC    ES1D    ES2D    ES3D    ES4D    ES5D    ES6D    
 1997 204     1  16.80  32.00  22.50  4.264  0.000  4.264  3.747  0.000  3.703  0.000  0.044    4.26    3.75    0.00    3.70    0.00    0.04   1.080   0.643   0.547   0.489   0.353   0.590
 1997 205     2  15.90  31.70  22.30  4.080  0.000  4.080  1.196  0.000  1.117  0.000  0.078    8.34    4.94    0.00    4.82    0.00    0.12   0.997   0.077   0.023   0.011   0.005   0.005
 1997 206     3  20.80  30.00  21.50  5.215  0.000  5.215  1.159  0.000  1.079  0.000  0.081   13.56    6.10    0.00    5.90    0.00    0.20   0.958   0.077   0.023   0.011   0.005   0.005
 1997 207     4  20.70  32.00  23.00  5.337  0.000  5.337  1.053  0.000  0.991  0.000  0.062   18.90    7.16    0.00    6.89    0.00    0.26   0.871   0.076   0.023   0.011   0.005   0.005
 1997 208     5  18.60  32.50  23.50  4.820  0.000  4.820  0.959  0.000  0.912  0.000  0.047   23.72    8.11    0.00    7.80    0.00    0.31   0.792   0.076   0.023   0.011   0.005   0.005
 1997 209     6  21.20  32.00  23.00  5.429  0.000  5.429  0.876  0.000  0.839  0.000  0.036   29.15    8.99    0.00    8.64    0.00    0.35   0.720   0.075   0.023   0.011   0.005   0.005
 1997 210     7  12.60  31.00  23.50  3.195  0.000  3.195  1.034  0.000  1.006  0.000  0.028   32.34   10.02    0.00    9.65    0.00    0.38   0.884   0.078   0.023   0.011   0.005   0.005
 1997 211     8   9.80  29.50  22.00  2.460  0.000  2.460  2.162  0.000  2.072  0.000  0.090   34.80   12.19    0.00   11.72    0.00    0.47   0.711   0.408   0.280   0.229   0.166   0.279
 1997 212     9   7.80  27.00  21.50  1.909  0.000  1.909  1.678  0.000  1.604  0.000  0.074   36.71   13.86    0.00   13.32    0.00    0.54   0.511   0.351   0.239   0.170   0.124   0.208
 1997 213    10  10.80  27.60  22.60  2.668  0.000  2.668  2.345  0.000  2.288  0.000  0.057   39.38   16.21    0.00   15.61    0.00    0.60   0.716   0.496   0.358   0.243   0.177   0.298
 1997 214    11  21.20  31.00  22.60  5.423  0.059  5.390  1.327  0.059  1.176  0.000  0.092   44.80   17.54    0.06   16.79    0.00    0.69   1.009   0.116   0.030   0.010   0.005   0.005
 1997 215    12  18.60  33.40  22.30  4.848  0.067  4.811  1.220  0.067  1.082  0.000  0.071   49.65   18.76    0.13   17.87    0.00    0.76   0.916   0.116   0.030   0.010   0.005   0.005
 1997 216    13  11.80  29.50  24.20  2.980  0.050  2.952  1.101  0.050  0.997  0.000  0.054   52.63   19.86    0.18   18.87    0.00    0.82   0.832   0.115   0.030   0.010   0.005   0.005
 1997 217    14  13.50  30.00  22.50  3.375  0.073  3.334  3.003  0.073  2.888  0.000  0.042   56.01   22.86    0.25   21.76    0.00    0.86   0.802   0.637   0.506   0.339   0.239   0.364
 1997 218    15   7.50  28.00  21.00  1.845  0.049  1.818  1.647  0.049  1.506  0.000  0.091   57.85   24.51    0.30   23.26    0.00    0.95   0.441   0.314   0.266   0.176   0.125   0.184
 1997 219    16  12.60  30.00  22.50  3.186  0.101  3.129  2.851  0.101  2.680  0.000  0.070   61.04   27.36    0.40   25.94    0.00    1.02   0.783   0.552   0.472   0.311   0.223   0.339
 1997 220    17  21.90  30.40  21.10  5.488  0.203  5.373  4.924  0.203  4.668  0.000  0.054   66.53   32.28    0.60   30.61    0.00    1.07   1.309   0.965   0.835   0.554   0.398   0.606
 1997 221    18  14.10  31.40  23.00  3.600  0.147  3.516  1.197  0.147  1.009  0.000  0.041   70.13   33.48    0.75   31.62    0.00    1.11   0.842   0.110   0.034   0.012   0.005   0.005
 1997 222    19  21.00  30.00  23.00  5.263  0.246  5.123  1.206  0.246  0.929  0.000  0.032   75.39   34.69    0.99   32.55    0.00    1.15   0.763   0.109   0.034   0.012   0.005   0.005
 1997 223    20  21.40  30.80  22.50  5.372  0.280  5.212  1.158  0.280  0.854  0.000  0.024   80.76   35.84    1.27   33.40    0.00    1.17   0.690   0.108   0.034   0.012   0.005   0.005
 1997 224    21  16.70  30.00  22.40  4.141  0.235  4.006  1.039  0.235  0.786  0.000  0.019   84.90   36.88    1.51   34.19    0.00    1.19   0.622   0.107   0.034   0.012   0.005   0.005
 1997 225    22  17.50  30.50  23.60  4.388  0.268  4.234  1.006  0.268  0.724  0.000  0.014   89.29   37.89    1.78   34.91    0.00    1.20   0.562   0.106   0.034   0.012   0.005   0.005
 1997 226    23  16.90  31.50  23.50  4.268  0.299  4.095  0.978  0.299  0.668  0.000  0.011   93.56   38.87    2.08   35.58    0.00    1.21   0.507   0.105   0.033   0.012   0.005   0.005
 1997 227    24   8.70  27.40  23.40  2.096  0.168  1.998  0.997  0.168  0.821  0.000  0.008   95.65   39.86    2.24   36.40    0.00    1.22   0.661   0.103   0.033   0.012   0.005   0.005
 1997 228    25  18.30  34.00  21.20  4.721  0.422  4.474  1.473  0.422  0.961  0.000  0.089  100.38   41.34    2.67   37.36    0.00    1.31   0.803   0.102   0.033   0.012   0.005   0.005
 1997 229    26  13.20  30.50  23.50  3.323  0.337  3.125  1.285  0.337  0.880  0.000  0.068  103.70   42.62    3.00   38.24    0.00    1.38   0.723   0.101   0.033   0.012   0.005   0.005
 1997 230    27  17.50  34.00  22.50  4.522  0.517  4.216  4.222  0.517  3.652  0.000  0.052  108.22   46.84    3.52   41.89    0.00    1.43   0.964   0.763   0.668   0.452   0.333   0.473
 1997 231    28  20.40  30.50  21.50  5.137  0.664  4.740  4.829  0.664  4.072  0.000  0.092  113.36   51.67    4.18   45.96    0.00    1.52   1.184   0.844   0.717   0.475   0.348   0.505
 1997 232    29  19.40  29.50  22.50  4.830  0.697  4.409  4.572  0.697  3.804  0.000  0.071  118.19   56.24    4.88   49.77    0.00    1.60   1.048   0.799   0.681   0.451   0.327   0.497
 1997 233    30  26.20  33.50  23.80  6.831  1.101  6.161  6.514  1.101  5.359  0.000  0.054  125.02   62.76    5.98   55.13    0.00    1.65   1.533   1.158   0.943   0.616   0.443   0.666
 1997 234    31  15.50  33.50  23.50  4.063  0.717  3.622  3.900  0.717  3.090  0.000  0.093  129.08   66.66    6.70   58.22    0.00    1.74   0.905   0.652   0.540   0.353   0.254   0.387
 1997 235    32   6.80  32.50  22.50  1.742  0.344  1.529  1.687  0.344  1.272  0.000  0.071  130.82   68.35    7.04   59.49    0.00    1.81   0.355   0.269   0.226   0.150   0.108   0.165
 1997 236    33  15.90  31.50  22.00  4.008  0.858  3.469  2.007  0.858  1.094  0.000  0.054  134.83   70.35    7.90   60.58    0.00    1.87   0.921   0.116   0.035   0.012   0.005   0.005
 1997 237    34  21.80  32.40  23.00  5.562  1.313  4.726  5.464  1.313  4.110  0.000  0.042  140.39   75.82    9.21   64.69    0.00    1.91   1.188   0.875   0.719   0.472   0.339   0.518
 1997 238    35  15.70  31.50  22.20  3.977  1.023  3.317  3.937  1.023  2.822  0.000  0.092  144.37   79.75   10.24   67.51    0.00    2.00   0.839   0.583   0.492   0.322   0.231   0.354
 1997 239    36  17.60  32.50  23.00  4.504  1.271  3.670  4.495  1.271  3.154  0.000  0.070  148.88   84.25   11.51   70.67    0.00    2.07   0.964   0.647   0.542   0.356   0.255   0.391
 1997 240    37   9.80  32.50  20.50  2.472  0.745  1.964  2.471  0.745  1.632  0.000  0.094  151.35   86.72   12.25   72.30    0.00    2.17   0.491   0.334   0.282   0.186   0.134   0.205
 1997 241    38  22.90  31.20  22.50  5.752  1.825  4.466  5.748  1.825  3.851  0.000  0.072  157.10   92.47   14.08   76.15    0.00    2.24   1.176   0.808   0.660   0.431   0.308   0.469
 1997 242    39  21.00  30.00  23.40  5.248  1.740  3.989  5.244  1.740  3.410  0.000  0.094  162.35   97.71   15.82   79.56    0.00    2.33   1.012   0.710   0.592   0.389   0.281   0.426
 1997 243    40  22.00  31.00  22.70  5.496  2.070  4.045  3.256  2.070  1.114  0.000  0.072  167.84  100.97   17.89   80.67    0.00    2.40   0.943   0.114   0.034   0.012   0.005   0.005
 1997 244    41  18.50  33.00  23.00  4.708  1.884  3.364  2.934  1.884  0.995  0.000  0.055  172.55  103.90   19.77   81.67    0.00    2.46   0.829   0.110   0.033   0.012   0.005   0.005
 1997 245    42  18.00  30.50  23.50  4.460  1.918  3.060  2.850  1.918  0.889  0.000  0.042  177.01  106.75   21.69   82.56    0.00    2.50   0.728   0.106   0.033   0.012   0.005   0.005
 1997 246    43  11.20  28.60  23.00  2.700  1.241  1.772  2.089  1.241  0.816  0.000  0.033  179.71  108.84   22.93   83.37    0.00    2.53   0.659   0.103   0.032   0.011   0.005   0.005
 1997 247    44  11.60  30.00  23.50  2.844  1.382  1.786  2.442  1.382  0.990  0.000  0.070  182.56  111.28   24.31   84.36    0.00    2.60   0.835   0.101   0.032   0.011   0.005   0.005
 1997 248    45  18.80  32.50  22.50  4.729  2.225  2.847  4.725  2.225  2.418  0.000  0.081  187.28  116.01   26.54   86.78    0.00    2.69   0.745   0.504   0.406   0.270   0.195   0.299
 1997 249    46  14.00  31.50  22.00  3.478  1.699  2.022  3.474  1.699  1.688  0.000  0.087  190.76  119.48   28.24   88.47    0.00    2.77   0.503   0.357   0.292   0.191   0.136   0.208
 1997 250    47  17.10  30.50  22.00  4.186  2.116  2.352  4.181  2.116  1.998  0.000  0.067  194.95  123.66   30.35   90.47    0.00    2.84   0.578   0.417   0.350   0.231   0.166   0.256
 1997 251    48  23.30  31.50  23.00  5.789  3.022  3.145  5.782  3.022  2.709  0.000  0.051  200.74  129.44   33.37   93.18    0.00    2.89   0.790   0.575   0.484   0.311   0.219   0.329
 1997 252    49  12.20  31.50  23.50  3.047  1.643  1.596  3.043  1.643  1.306  0.000  0.094  203.78  132.49   35.02   94.48    0.00    2.99   0.385   0.280   0.234   0.151   0.105   0.151
 1997 253    50  15.70  30.50  22.50  3.850  2.136  1.948  3.845  2.136  1.627  0.000  0.081  207.63  136.33   37.15   96.11    0.00    3.07   0.495   0.330   0.280   0.189   0.138   0.195
 1997 254    51  15.20  29.00  22.50  3.661  2.091  1.785  3.656  2.091  1.471  0.000  0.095  211.29  139.99   39.24   97.58    0.00    3.16   0.437   0.299   0.256   0.171   0.124   0.185
 1997 255    52  20.80  31.50  22.50  5.128  3.010  2.410  5.121  3.010  2.039  0.000  0.072  216.42  145.11   42.25   99.62    0.00    3.23   0.592   0.413   0.359   0.239   0.172   0.265
 1997 256    53  21.50  33.50  24.00  5.456  3.289  2.465  5.448  3.289  2.103  0.000  0.056  221.88  150.56   45.54  101.72    0.00    3.29   0.608   0.435   0.373   0.250   0.177   0.261
 1997 257    54  16.50  29.50  21.50  3.949  2.446  1.710  3.943  2.446  1.400  0.000  0.097  225.83  154.50   47.99  103.12    0.00    3.39   0.409   0.290   0.247   0.164   0.117   0.173
 1997 258    55  20.80  32.50  23.00  5.182  3.284  2.159  5.174  3.284  1.816  0.000  0.074  231.01  159.67   51.27  104.94    0.00    3.46   0.550   0.372   0.313   0.208   0.149   0.223
 1997 259    56  19.80  31.00  21.00  4.789  3.105  1.914  4.781  3.105  1.577  0.000  0.099  235.80  164.45   54.38  106.52    0.00    3.56   0.474   0.321   0.273   0.180   0.130   0.200
 1997 260    57  21.00  31.50  22.00  5.130  3.395  1.974  5.122  3.395  1.651  0.000  0.075  240.93  169.58   57.77  108.17    0.00    3.63   0.498   0.351   0.283   0.185   0.133   0.202
 1997 261    58   9.10  26.50  22.00  2.106  1.421  0.779  2.103  1.421  0.584  0.000  0.098  243.03  171.68   59.20  108.75    0.00    3.73   0.177   0.127   0.101   0.065   0.046   0.068
 1997 262    59  16.30  30.00  22.50  3.934  2.687  1.419  3.928  2.687  1.151  0.000  0.089  246.97  175.61   61.88  109.90    0.00    3.82   0.342   0.240   0.202   0.132   0.094   0.141
 1997 263    60  14.60  32.00  23.50  3.617  2.512  1.258  3.611  2.512  1.031  0.000  0.068  250.59  179.22   64.39  110.94    0.00    3.89   0.301   0.212   0.181   0.119   0.086   0.132
 1997 264    61  24.50  33.50  24.00  6.179  4.357  2.075  6.169  4.357  1.761  0.000  0.052  256.76  185.39   68.75  112.70    0.00    3.94   0.501   0.359   0.311   0.208   0.150   0.232
 1997 265    62  19.70  33.50  24.50  4.979  3.565  1.609  4.971  3.565  1.366  0.000  0.040  261.74  190.36   72.32  114.06    0.00    3.98   0.399   0.289   0.239   0.156   0.112   0.171
 1997 266    63   7.60  28.00  21.00  1.770  1.285  0.551  1.766  1.285  0.411  0.000  0.070  263.51  192.12   73.60  114.47    0.00    4.05   0.122   0.086   0.072   0.047   0.033   0.051
 1997 267    64  19.50  32.00  22.40  4.785  3.496  1.467  4.776  3.496  1.197  0.000  0.083  268.30  196.90   77.10  115.67    0.00    4.13   0.371   0.246   0.205   0.134   0.096   0.146
 1997 268    65   9.30  28.50  21.50  2.184  1.614  0.648  2.180  1.614  0.482  0.000  0.083  270.48  199.08   78.71  116.15    0.00    4.22   0.146   0.098   0.083   0.055   0.040   0.061
 1997 269    66  16.00  33.50  21.70  3.965  2.950  1.157  3.958  2.950  0.934  0.000  0.075  274.45  203.04   81.66  117.09    0.00    4.29   0.280   0.188   0.162   0.108   0.078   0.120
 1997 270    67  24.70  34.50  24.50  6.299  4.730  1.789  6.289  4.730  1.502  0.000  0.057  280.75  209.33   86.39  118.59    0.00    4.35   0.440   0.308   0.262   0.175   0.129   0.189
 1997 271    68  24.90  32.50  20.00  6.032  4.575  1.660  6.021  4.575  1.342  0.000  0.104  286.78  215.35   90.97  119.93    0.00    4.45   0.391   0.276   0.235   0.156   0.115   0.170
 1997 272    69  21.90  34.00  24.00  5.534  4.232  1.485  5.525  4.232  1.214  0.000  0.079  292.31  220.87   95.20  121.15    0.00    4.53   0.363   0.244   0.209   0.140   0.102   0.155
 1997 273    70  18.80  33.00  23.00  4.671  3.603  1.218  4.663  3.603  0.953  0.000  0.107  296.98  225.54   98.80  122.10    0.00    4.64   0.288   0.189   0.162   0.110   0.081   0.123
 1997 274    71  20.20  33.50  25.00  5.111  3.972  1.300  5.102  3.972  1.049  0.000  0.081  302.09  230.64  102.77  123.15    0.00    4.72   0.308   0.206   0.179   0.124   0.091   0.141
 1997 275    72  24.50  34.00  25.00  6.226  4.875  1.543  6.216  4.875  1.280  0.000  0.061  308.32  236.86  107.65  124.43    0.00    4.78   0.385   0.269   0.216   0.144   0.105   0.161
 1997 276    73  15.10  28.00  20.00  3.478  2.741  0.840  3.471  2.741  0.622  0.000  0.108  311.80  240.33  110.39  125.05    0.00    4.89   0.186   0.131   0.108   0.070   0.050   0.077
 1997 277    74  18.10  32.00  20.00  4.352  3.445  1.036  4.344  3.445  0.818  0.000  0.081  316.15  244.67  113.84  125.87    0.00    4.97   0.240   0.170   0.142   0.094   0.068   0.105
 1997 278    75   8.80  31.50  20.00  2.104  1.673  0.492  2.100  1.673  0.366  0.000  0.061  318.26  246.77  115.51  126.23    0.00    5.03   0.107   0.077   0.064   0.043   0.031   0.045
 1997 279    76  22.20  33.00  21.30  5.447  4.335  1.271  5.437  4.335  0.991  0.000  0.110  323.70  252.21  119.84  127.22    0.00    5.14   0.294   0.210   0.174   0.116   0.083   0.115
 1997 280    77  21.20  30.70  20.60  5.049  4.036  1.158  5.039  4.036  0.909  0.000  0.094  328.75  257.25  123.88  128.13    0.00    5.23   0.267   0.188   0.159   0.106   0.076   0.113
 1997 281    78   8.70  32.00  23.50  2.143  1.719  0.485  2.139  1.719  0.355  0.000  0.065  330.89  259.39  125.60  128.49    0.00    5.30   0.104   0.072   0.062   0.041   0.030   0.045
 1997 282    79  17.70  32.00  25.40  4.418  3.546  0.999  4.410  3.546  0.749  0.000  0.115  335.31  263.80  129.14  129.24    0.00    5.41   0.224   0.150   0.130   0.086   0.063   0.096
 1997 283    80  18.60  33.00  25.20  4.682  3.771  1.044  4.674  3.771  0.816  0.000  0.086  339.99  268.47  132.92  130.05    0.00    5.50   0.238   0.161   0.142   0.096   0.070   0.109
 1997 284    81  19.80  32.80  25.20  4.972  4.018  1.094  4.964  4.018  0.881  0.000  0.065  344.97  273.43  136.93  130.93    0.00    5.56   0.250   0.171   0.154   0.106   0.078   0.122
 1997 285    82  17.60  33.70  24.00  4.423  3.585  0.961  4.415  3.585  0.782  0.000  0.049  349.39  277.85  140.52  131.72    0.00    5.61   0.665   0.075   0.024   0.009   0.004   0.004
 1997 286    83  20.40  33.80  23.40  5.109  4.190  1.100  5.100  4.190  0.873  0.000  0.036  354.50  282.95  144.71  132.59    0.00    5.65   0.734   0.088   0.029   0.011   0.005   0.005
 1997 287    84  12.50  32.00  24.20  3.089  2.515  0.658  3.083  2.515  0.540  0.000  0.027  357.59  286.03  147.22  133.13    0.00    5.68   0.447   0.058   0.020   0.008   0.004   0.004
 1997 288    85  21.60  31.40  21.50  5.203  4.239  1.107  5.193  4.239  0.902  0.000  0.053  362.79  291.22  151.46  134.03    0.00    5.73   0.772   0.087   0.025   0.009   0.004   0.004
