*PLANT C OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.5.1.023 -Stub         DEC 04, 2014; 01:35:34
                                                                                
*RUN   1        : 97 DATE1 CHINESE          CRGRO045 GHNY9701    1              
 MODEL          : CRGRO045 - Peanut                                             
 EXPERIMENT     : GHNY9701 PN 1997 VARIETY X PLANTING DATE EXPERIMENT           
 DATA PATH      :                                                               
 TREATMENT  1   : 97 DATE1 CHINESE          CRGRO045                            
  
@YEAR DOY   DAS   DAP   TWAD    PHAD    CMAD    CGRD    GRAD    MRAD    CHAD   CL%D   CS%D   TGNN   TGAV    GN%D    GL%D    GC%D
 1997 166    19    17     62  1.0667  0.0028  0.7344  0.2051  0.0865 0.00000  3.183  5.798 28.816 26.149  0.0000  0.0000  0.0000
 1997 167    20    18     70  1.2660  0.0031  0.8537  0.2437  0.1040 0.00000  3.143  5.773 29.384 26.646  0.0000  0.0000  0.0000
 1997 168    21    19     79  1.4433  0.0033  0.9558  0.2842  0.1080 0.00000  3.109  5.758 28.685 25.271  0.0000  0.0000  0.0000
 1997 169    22    20     89  1.6260  0.0039  1.1007  0.3276  0.1358 0.00000  3.072  5.723 30.680 26.804  0.0000  0.0000  0.0000
 1997 170    23    21    100  1.6994  0.0043  1.0795  0.3623  0.1429 0.00000  3.040  5.690 30.622 26.390  0.0000  0.0000  0.0000
 1997 171    24    22    113  2.0608  0.0048  1.3657  0.4306  0.1577 0.00000  3.012  5.667 29.001 25.623  0.0000  0.0000  0.0000
 1997 172    25    23    127  2.3973  0.0058  1.5365  0.5036  0.2110 0.00000  2.985  5.642 31.080 27.879  0.0000  0.0000  0.0000
 1997 173    26    24    136  1.7478  0.0067  1.0252  0.3765  0.1881 0.00000  2.958  5.598 30.816 28.149  0.0000  0.0000  0.0000
 1997 174    27    25    148  2.0739  0.0057  1.2420  0.4736  0.1453 0.00000  2.940  5.582 24.679 22.830  0.0000  0.0000  0.0000
 1997 175    28    26    163  2.6258  0.0070  1.6240  0.5783  0.2021 0.00000  2.924  5.568 27.737 24.893  0.0000  0.0000  0.0000
 1997 176    29    27    184  3.2915  0.0086  2.1651  0.6783  0.2810 0.00000  2.908  5.557 29.816 27.149  0.0000  0.0000  0.0000
 1997 177    30    28    210  4.1177  0.0096  2.7569  0.8404  0.3384 0.00088  2.900  5.568 30.158 27.136  0.0000  0.0000  0.0000
 1997 178    31    29    238  4.5612  0.0111  2.9278  0.9580  0.3858 0.00926  2.923  5.641 30.579 27.379  0.0000  0.0000  0.0000
 1997 179    32    30    262  4.2348  0.0121  2.4603  0.9495  0.3660 0.01600  2.959  5.738 30.295 26.455  0.0000  0.0000  0.0000
 1997 180    33    31    297  5.6521  0.0144  3.6613  1.1635  0.4576 0.03226  3.034  5.917 29.484 26.746  0.0000  0.0000  0.0000
 1997 181    34    32    329  5.6417  0.0168  3.3202  1.2516  0.4661 0.04237  3.114  6.103 28.537 26.368  0.0000  0.0000  0.0000
 1997 182    35    33    369  6.6191  0.0200  4.1393  1.3896  0.5639 0.06238  3.217  6.335 28.789 27.189  0.0000  0.0000  0.0000
 1997 183    36    34    396  5.0404  0.0226  2.9105  1.0918  0.4830 0.05731  3.288  6.493 28.552 26.419  0.0000  0.0000  0.0000
 1997 184    37    35    428  5.6010  0.0219  3.2557  1.2433  0.4422 0.07365  3.377  6.693 26.394 23.905  0.0000  0.0000  0.0000
 1997 185    38    36    462  6.1573  0.0262  3.5564  1.3497  0.5284 0.09171  3.474  6.909 27.814 25.148  0.0000  0.0000  0.0000
 1997 186    39    37    516  8.7028  0.0316  5.5994  1.7540  0.7290 0.14764  3.624  7.235 28.720 26.515  0.0000  0.0000  0.0000
 1997 187    40    38    571  9.2871  0.0361  5.6354  1.9558  0.7747 0.17423  3.771  7.554 28.677 26.153  0.0000  0.0000  0.0000
 1997 188    41    39    631 10.1955  0.0413  6.1059  2.1735  0.8234 0.21098  3.923  7.883 27.972 25.661  0.0000  0.0000  0.0000
 1997 189    42    40    704 12.0495  0.0484  7.3781  2.4792  0.9991 0.27084  4.103  8.275 29.234 26.390  0.0000  0.0000  0.0000
 1997 190    43    41    776 12.6260  0.0566  7.3518  2.6880  1.1125 0.30651  4.262  8.616 30.075 26.876  0.0000  0.0000  0.0000
